,ID,uploadDate,videoTitle
0,EY39fkmqKBM,2010-01-15T00:56:30.000Z,GINGERS DO HAVE SOULS!!
1,_OBlgSz8sSM,2007-05-22T20:37:33.000Z,Charlie bit my finger - again !
2,EwTZ2xpQwpA,2007-04-23T06:27:44.000Z,"""Chocolate Rain"" Original Song by Tay Zonday"
3,4ic7RNS4Dfo,2019-01-13T05:09:14.000Z,Katelyn Ohashi - 10.0 Floor (1-12-19)
4,txqiwrbYGrs,2009-01-31T05:22:46.000Z,David After Dentist
5,a1Y73sPHKxw,2007-06-20T00:35:55.000Z,Dramatic Chipmunk
6,dMH0bHeiRNg,2006-04-06T22:58:00.000Z,Evolution of Dance
7,oHg5SJYRHA0,2007-05-15T07:24:30.000Z,RickRoll'D
8,J---aiyznGQ,2007-06-07T19:45:44.000Z,Charlie Schmidt's Keyboard Cat! - THE ORIGINAL!
9,wgrrQwLdME8,2008-02-19T13:15:22.000Z,Hey Jude
10,Q5im0Ssyyus,2006-05-01T00:38:26.000Z,Charlie The Unicorn
11,yqEeP1acj4Y,2009-03-10T07:00:11.000Z,YouForgotBlueberries.com
12,aMS0O3kknvk,2007-12-20T01:14:53.000Z,Grape lady falls!
13,KmtzQCSh6xk,2006-12-11T17:27:21.000Z,Numa Numa
14,VCKg_tbYjgs,2018-03-01T11:51:59.000Z,Little Girl Regrets Trying Wasabi -  984907
15,pod4jIKT_kA,2006-01-24T22:12:46.000Z,Wilford Brimley - The Beetis
16,dTAAsCNK7RA,2009-02-27T04:15:26.000Z,OK Go - Here It Goes Again
17,4BvBkTmDWBA,2009-05-30T20:08:06.000Z,Susan Boyle: I Dreamed A Dream - Britain's Got Talent 2009 - The Final
18,IBRL7D0wcXM,2008-08-21T02:26:05.000Z,Keeping your refrigerator stocked will get you many women
19,6lutNECOZFw,2012-06-17T01:28:06.000Z,"Excited train guy, New York!"
20,lj3iNxZ8Dww,2007-08-25T02:50:03.000Z,Miss Teen USA 2007 - South Carolina answers a question
21,4r7wHMg5Yjg,2011-01-18T13:20:54.000Z,The Crazy Nastyass Honey Badger (original narration by Randall)
